symbol,scoutTargetMultiplier,scoutStopMultiplier,totalScouts,foRTriggers,scoutWinRate,scoutAggregatePnl,scoutStops,scoutTargets,scoutTimeouts,finalEquity
ETH/USDT,1.8,0.7,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,0.8,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,0.9,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,1,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,1.1,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,1.2,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,1.3,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.8,1.4,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,0.7,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,0.8,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,0.9,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,1,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,1.1,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,1.2,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,1.3,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,1.9,1.4,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,0.7,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,0.8,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,0.9,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,1,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,1.1,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,1.2,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,1.3,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2,1.4,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2.1,0.7,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
ETH/USDT,2.1,0.8,431,179,41.53132250580047,1011.5778571428593,195,39,197,960.6331421409461
